n=10,	 e=49.50984052
4.631037722887766250e+01 4.301602931988669776e-02
3.771807068339716551e+01 2.671745279939900541e+01
3.504633313785378590e+01 2.971638498883568857e+01
-1.961399254860892682e+01 4.194643336732632832e+01
-2.302579188009493194e+01 3.986337940290712822e+01
-1.476546695540655918e+01 -4.369979488639337006e+01
-1.097367240459486482e+01 -4.494869446811679836e+01
4.574163953291348861e+01 -3.926272521397435433e+00
n=20,	 e=48.7040102
4.641089694715196146e+01 7.574122496443186359e-02
3.776498763397922431e+01 2.672857726773431608e+01
3.497823940814479471e+01 2.961924256878352324e+01
-1.963341449331706912e+01 4.206787645808874032e+01
-2.296070699602393361e+01 3.985030215681194932e+01
-1.475089960782732845e+01 -4.372525693975432404e+01
-1.098267027730418022e+01 -4.505137275820646892e+01
4.561106417953896397e+01 -3.853205266536827267e+00
n=30,	 e=48.34472047
4.646425419925490274e+01 9.493647946428046547e-02
3.778583297597476331e+01 2.673222250776769471e+01
3.493377338759282935e+01 2.955482119371919580e+01
-1.964243101985260154e+01 4.215188516731665658e+01
-2.290676375988501334e+01 3.984230672314967592e+01
-1.473455708703078670e+01 -4.374173201556558155e+01
-1.098440157142415785e+01 -4.512184915269737928e+01
4.552178966971953145e+01 -3.800686191259676328e+00
n=40,	 e=48.17484666
4.649170819052412895e+01 1.061342269135679417e-01
3.779414819319396912e+01 2.673330679288805101e+01
3.490418288679907022e+01 2.951380019725964488e+01
-1.964680035267952718e+01 4.221248031649950150e+01
-2.286375229854738578e+01 3.983738514931150121e+01
-1.471904987782161101e+01 -4.375268349005330748e+01
-1.098321500891226776e+01 -4.517312197249697192e+01
4.546027506180829647e+01 -3.765396508419371457e+00
n=50,	 e=48.08972419
4.650441451510301505e+01 1.126454533061150287e-01
3.779638834121276858e+01 2.673363483096368753e+01
3.488428303261367347e+01 2.948836493481939058e+01
-1.964880433363084222e+01 4.225730267395079665e+01
-2.282981078609521219e+01 3.983436111468992635e+01
-1.470519579879948679e+01 -4.376010207602241309e+01
-1.098097302789614105e+01 -4.521189921177462168e+01
4.541719485187032745e+01 -3.742403008021095268e+00
n=60,	 e=48.04451231
4.650861707463510442e+01 1.163946143897476859e-01
3.779580691817974269e+01 2.673390291787138295e+01
3.487087947925319753e+01 2.947309698768276931e+01
-1.964948546714310140e+01 4.229100433309960039e+01
-2.280303330160269937e+01 3.983249344899572009e+01
-1.469318666814388763e+01 -4.376523580867554841e+01
-1.097851534018235498e+01 -4.524204162199640677e+01
